,Name,Date,Departure,Arrival,Source,Destination,Stops,Duration,Price
585,IndiGo,4 Apr,19:35,22:30,Chennai,New Delhi,Non Stop,2h 55m,"2,750"
586,Vistara,4 Apr,10:45,13:30,Chennai,New Delhi,Non Stop,2h 45m,"2,777"
587,Vistara,4 Apr,17:25,20:10,Chennai,New Delhi,Non Stop,2h 45m,"2,777"
588,IndiGo,29 Mar,00:45,07:10,Pune,Kolkata,1 Stop,6h 25m,"4,319"
589,IndiGo,29 Mar,00:45,08:20,Pune,Kolkata,1 Stop,7h 35m,"4,319"
590,Air Asia,29 Mar,11:50,15:45,Pune,Kolkata,1 Stop,3h 55m,"4,447"
591,Air Asia,29 Mar,17:50,23:10,Pune,Kolkata,1 Stop,5h 20m,"4,447"
592,Air Asia,29 Mar,19:25,01:35 + 1 day,Pune,Kolkata,1 Stop,6h 10m,"4,447"
593,Air Asia,29 Mar,11:50,19:20,Pune,Kolkata,1 Stop,7h 30m,"4,447"
594,Air Asia,29 Mar,23:50,09:00 + 1 day,Pune,Kolkata,1 Stop,9h 10m,"4,447"
595,Air Asia,29 Mar,19:05,07:10 + 1 day,Pune,Kolkata,1 Stop,12h 05m,"4,447"
596,Air Asia,29 Mar,17:50,07:10 + 1 day,Pune,Kolkata,1 Stop,13h 20m,"4,447"
597,Air Asia,29 Mar,19:25,09:00 + 1 day,Pune,Kolkata,1 Stop,13h 35m,"4,447"
598,IndiGo,23 Mar,14:55,22:00,Patna,Bangalore,1 Stop,7h 05m,"3,549"
599,IndiGo,23 Mar,09:15,12:00,Patna,Bangalore,Non Stop,2h 45m,"4,000"
600,IndiGo,23 Mar,19:25,22:10,Patna,Bangalore,Non Stop,2h 45m,"4,000"
601,IndiGo,23 Mar,01:40,06:55,Patna,Bangalore,1 Stop,5h 15m,"4,001"
602,IndiGo,23 Mar,01:40,08:15,Patna,Bangalore,1 Stop,6h 35m,"4,001"
603,IndiGo,23 Mar,08:25,15:25,Patna,Bangalore,1 Stop,7h 00m,"4,001"
604,IndiGo,23 Mar,10:45,18:30,Patna,Bangalore,1 Stop,7h 45m,"4,001"
605,IndiGo,23 Mar,01:40,09:35,Patna,Bangalore,1 Stop,7h 55m,"4,001"
606,IndiGo,23 Mar,10:45,19:35,Patna,Bangalore,1 Stop,8h 50m,"4,001"
607,IndiGo,23 Mar,01:40,10:35,Patna,Bangalore,1 Stop,8h 55m,"4,001"
608,IndiGo,7 Apr,04:50,10:15,Pune,Lucknow,1 Stop,5h 25m,"4,077"
609,Air India,7 Apr,07:40,13:25,Pune,Lucknow,1 Stop,5h 45m,"4,077"
610,IndiGo,7 Apr,11:05,17:40,Pune,Lucknow,1 Stop,6h 35m,"4,077"
611,IndiGo,7 Apr,07:20,14:35,Pune,Lucknow,1 Stop,7h 15m,"4,077"
612,IndiGo,7 Apr,05:45,13:30,Pune,Lucknow,1 Stop,7h 45m,"4,077"
613,IndiGo,7 Apr,04:50,14:35,Pune,Lucknow,1 Stop,9h 45m,"4,077"
614,IndiGo,7 Apr,00:45,10:35,Pune,Lucknow,1 Stop,9h 50m,"4,077"
615,Air India,7 Apr,07:40,19:40,Pune,Lucknow,1 Stop,12h 00m,"4,077"
616,Air India,7 Apr,18:50,13:25 + 1 day,Pune,Lucknow,1 Stop,18h 35m,"4,077"
617,Air India,7 Apr,18:50,19:40 + 1 day,Pune,Lucknow,1 Stop,24h 50m,"4,077"
618,Go First,22 Mar,20:55,22:55,Pune,New Delhi,Non Stop,2h 00m,"2,564"
619,IndiGo,22 Mar,20:30,22:40,Pune,New Delhi,Non Stop,2h 10m,"2,564"
620,Go First,22 Mar,19:10,21:30,Pune,New Delhi,Non Stop,2h 20m,"2,564"
621,Air Asia,22 Mar,01:30,03:35,Pune,New Delhi,Non Stop,2h 05m,"2,565"
622,Air Asia,22 Mar,17:55,20:10,Pune,New Delhi,Non Stop,2h 15m,"2,565"
623,IndiGo,22 Mar,23:55,02:05 + 1 day,Pune,New Delhi,Non Stop,2h 10m,"2,798"
624,IndiGo,22 Mar,02:00,04:15,Pune,New Delhi,Non Stop,2h 15m,"2,798"
625,IndiGo,22 Mar,04:55,07:10,Pune,New Delhi,Non Stop,2h 15m,"2,798"
626,IndiGo,22 Mar,16:15,18:30,Pune,New Delhi,Non Stop,2h 15m,"2,798"
627,SpiceJet,22 Mar,06:25,09:00,Pune,New Delhi,Non Stop,2h 35m,"2,909"
628,Air India,4 Apr,16:55,19:50,Chennai,New Delhi,Non Stop,2h 55m,"2,271"
629,Air India,4 Apr,09:55,12:55,Chennai,New Delhi,Non Stop,3h 00m,"2,271"
630,IndiGo,4 Apr,17:00,23:05,Chennai,New Delhi,1 Stop,6h 05m,"2,271"
631,IndiGo,4 Apr,22:30,01:25 + 1 day,Chennai,New Delhi,Non Stop,2h 55m,"2,329"
632,SpiceJet,4 Apr,07:05,09:50,Chennai,New Delhi,Non Stop,2h 45m,"2,566"
633,SpiceJet,4 Apr,22:05,00:50 + 1 day,Chennai,New Delhi,Non Stop,2h 45m,"2,566"
634,IndiGo,4 Apr,18:15,21:05,Chennai,New Delhi,Non Stop,2h 50m,"2,750"
635,IndiGo,4 Apr,19:35,22:30,Chennai,New Delhi,Non Stop,2h 55m,"2,750"
636,Vistara,4 Apr,10:45,13:30,Chennai,New Delhi,Non Stop,2h 45m,"2,777"
637,Vistara,4 Apr,17:25,20:10,Chennai,New Delhi,Non Stop,2h 45m,"2,777"
638,IndiGo,29 Mar,00:45,07:10,Pune,Kolkata,1 Stop,6h 25m,"4,319"
639,IndiGo,29 Mar,00:45,08:20,Pune,Kolkata,1 Stop,7h 35m,"4,319"
640,Air Asia,29 Mar,11:50,15:45,Pune,Kolkata,1 Stop,3h 55m,"4,447"
641,Air Asia,29 Mar,17:50,23:10,Pune,Kolkata,1 Stop,5h 20m,"4,447"
642,Air Asia,29 Mar,19:25,01:35 + 1 day,Pune,Kolkata,1 Stop,6h 10m,"4,447"
643,Air Asia,29 Mar,11:50,19:20,Pune,Kolkata,1 Stop,7h 30m,"4,447"
644,Air Asia,29 Mar,23:50,09:00 + 1 day,Pune,Kolkata,1 Stop,9h 10m,"4,447"
645,Air Asia,29 Mar,19:05,07:10 + 1 day,Pune,Kolkata,1 Stop,12h 05m,"4,447"
646,Air Asia,29 Mar,17:50,07:10 + 1 day,Pune,Kolkata,1 Stop,13h 20m,"4,447"
647,Air Asia,29 Mar,19:25,09:00 + 1 day,Pune,Kolkata,1 Stop,13h 35m,"4,447"
648,IndiGo,23 Mar,14:55,22:00,Patna,Bangalore,1 Stop,7h 05m,"3,549"
649,IndiGo,23 Mar,09:15,12:00,Patna,Bangalore,Non Stop,2h 45m,"4,000"
650,IndiGo,23 Mar,19:25,22:10,Patna,Bangalore,Non Stop,2h 45m,"4,000"
651,IndiGo,23 Mar,01:40,06:55,Patna,Bangalore,1 Stop,5h 15m,"4,001"
652,IndiGo,23 Mar,01:40,08:15,Patna,Bangalore,1 Stop,6h 35m,"4,001"
653,IndiGo,23 Mar,08:25,15:25,Patna,Bangalore,1 Stop,7h 00m,"4,001"
654,IndiGo,23 Mar,10:45,18:30,Patna,Bangalore,1 Stop,7h 45m,"4,001"
655,IndiGo,23 Mar,01:40,09:35,Patna,Bangalore,1 Stop,7h 55m,"4,001"
656,IndiGo,23 Mar,10:45,19:35,Patna,Bangalore,1 Stop,8h 50m,"4,001"
657,IndiGo,23 Mar,01:40,10:35,Patna,Bangalore,1 Stop,8h 55m,"4,001"
658,IndiGo,7 Apr,04:50,10:15,Pune,Lucknow,1 Stop,5h 25m,"4,077"
659,Air India,7 Apr,07:40,13:25,Pune,Lucknow,1 Stop,5h 45m,"4,077"
660,IndiGo,7 Apr,11:05,17:40,Pune,Lucknow,1 Stop,6h 35m,"4,077"
661,IndiGo,7 Apr,07:20,14:35,Pune,Lucknow,1 Stop,7h 15m,"4,077"
662,IndiGo,7 Apr,05:45,13:30,Pune,Lucknow,1 Stop,7h 45m,"4,077"
663,IndiGo,7 Apr,04:50,14:35,Pune,Lucknow,1 Stop,9h 45m,"4,077"
664,IndiGo,7 Apr,00:45,10:35,Pune,Lucknow,1 Stop,9h 50m,"4,077"
665,Air India,7 Apr,07:40,19:40,Pune,Lucknow,1 Stop,12h 00m,"4,077"
666,Air India,7 Apr,18:50,13:25 + 1 day,Pune,Lucknow,1 Stop,18h 35m,"4,077"
667,Air India,7 Apr,18:50,19:40 + 1 day,Pune,Lucknow,1 Stop,24h 50m,"4,077"
668,Go First,22 Mar,20:55,22:55,Pune,New Delhi,Non Stop,2h 00m,"2,564"
